locus	type	lnL ratio	P-value
dDocent_Contig_127037:8	dDocent_Contig_127037:8	C	2.54225889444665	0.136
dDocent_Contig_154516:53	dDocent_Contig_154516:53	C	2.81813130171732	0.078
dDocent_Contig_2699:72	dDocent_Contig_2699:72	C	9.92312954454337	0
dDocent_Contig_155862:31	dDocent_Contig_155862:31	C	7.35846755805844	0.003
dDocent_Contig_245910:9	dDocent_Contig_245910:9	C	1.85699675524721	0.262
dDocent_Contig_558:46	dDocent_Contig_558:46	C	0.907801662513876	0.426
dDocent_Contig_49934:22	dDocent_Contig_49934:22	C	15.3590349350173	0
dDocent_Contig_238654:46	dDocent_Contig_238654:46	C	33.2635457793248	0
dDocent_Contig_87011:37	dDocent_Contig_87011:37	C	12.5419003314782	0
dDocent_Contig_253227:15	dDocent_Contig_253227:15	C	7.9180945508424	0.002
dDocent_Contig_3547:23	dDocent_Contig_3547:23	C	15.7820482855878	0
dDocent_Contig_76800:35	dDocent_Contig_76800:35	C	14.7260807331839	0
dDocent_Contig_142709:8	dDocent_Contig_142709:8	C	0.576007066277697	0.569
dDocent_Contig_61896:14	dDocent_Contig_61896:14	C	49.5957922245293	0
dDocent_Contig_114253:49	dDocent_Contig_114253:49	C	0.591699990055659	0.542
dDocent_Contig_226254:45	dDocent_Contig_226254:45	C	2.29620222164755	0.169
dDocent_Contig_77358:28	dDocent_Contig_77358:28	C	8.13413058354375	0
dDocent_Contig_147511:48	dDocent_Contig_147511:48	C	10.0849973522496	0
dDocent_Contig_1945:27	dDocent_Contig_1945:27	C	1.96845336420255	0.225
dDocent_Contig_187282:48	dDocent_Contig_187282:48	C	3.38509202999696	0.089
dDocent_Contig_137733:17	dDocent_Contig_137733:17	C	12.4582346150385	0
dDocent_Contig_157140:65	dDocent_Contig_157140:65	C	6.56113912265648	0.007
dDocent_Contig_48514:41	dDocent_Contig_48514:41	C	18.6778268131829	0
dDocent_Contig_49636:30	dDocent_Contig_49636:30	C	13.8995467905677	0
dDocent_Contig_25730:54	dDocent_Contig_25730:54	C	16.2843230835836	0
dDocent_Contig_17142:19	dDocent_Contig_17142:19	C	1.69038029667671	0.306
dDocent_Contig_85146:46	dDocent_Contig_85146:46	C	9.48723093617977	0
dDocent_Contig_127273:54	dDocent_Contig_127273:54	C	6.71465662646621	0.004
dDocent_Contig_98155:12	dDocent_Contig_98155:12	C	2.65972565849941	0.089
dDocent_Contig_60112:81	dDocent_Contig_60112:81	C	1.76924093089049	0.21
dDocent_Contig_154274:50	dDocent_Contig_154274:50	C	25.1768985638237	0
dDocent_Contig_149544:53	dDocent_Contig_149544:53	C	4.15970904088493	0.033
dDocent_Contig_67249:13	dDocent_Contig_67249:13	C	4.76675795919181	0.02
dDocent_Contig_25649:52	dDocent_Contig_25649:52	C	3.61371366547461	0.058
dDocent_Contig_99087:62	dDocent_Contig_99087:62	C	3.71191346470317	0.045
dDocent_Contig_68719:36	dDocent_Contig_68719:36	C	27.5243159680845	0
dDocent_Contig_61663:40	dDocent_Contig_61663:40	C	3.5005626151885	0.088
dDocent_Contig_107931:13	dDocent_Contig_107931:13	C	4.86446890036247	0.017
dDocent_Contig_61663:24	dDocent_Contig_61663:24	C	5.89817442026863	0.005
dDocent_Contig_61663:30	dDocent_Contig_61663:30	C	2.38285101236051	0.201
dDocent_Contig_69888:33	dDocent_Contig_69888:33	C	15.9571936823561	0
dDocent_Contig_14903:33	dDocent_Contig_14903:33	C	12.881221366421	0
dDocent_Contig_41031:19	dDocent_Contig_41031:19	C	8.70020709958367	0
dDocent_Contig_71634:21	dDocent_Contig_71634:21	C	5.64056954100197	0.015
dDocent_Contig_18813:62	dDocent_Contig_18813:62	C	1.54841652087351	0.352
dDocent_Contig_22758:35	dDocent_Contig_22758:35	C	3.01504560619076	0.104
dDocent_Contig_223373:44	dDocent_Contig_223373:44	C	10.740301269139	0
dDocent_Contig_68329:31	dDocent_Contig_68329:31	C	4.31239180341978	0.031
dDocent_Contig_24101:47	dDocent_Contig_24101:47	C	2.9989873539724	0.116
dDocent_Contig_141839:25	dDocent_Contig_141839:25	C	2.99661373804064	0.105
dDocent_Contig_247843:26	dDocent_Contig_247843:26	C	12.3898440504485	0
dDocent_Contig_5050:24	dDocent_Contig_5050:24	C	7.5104059410894	0.003
dDocent_Contig_20655:42	dDocent_Contig_20655:42	C	1.98327242516402	0.212
dDocent_Contig_7226:30	dDocent_Contig_7226:30	C	4.57218663609275	0.045
dDocent_Contig_71235:12	dDocent_Contig_71235:12	C	3.68739273904602	0.048
dDocent_Contig_243860:47	dDocent_Contig_243860:47	C	2.99267557978624	0.095
dDocent_Contig_185028:80	dDocent_Contig_185028:80	C	0.322573399398635	0.643
dDocent_Contig_189860:25	dDocent_Contig_189860:25	C	7.34514747913602	0.003
dDocent_Contig_16345:47	dDocent_Contig_16345:47	C	5.54891342069786	0.012
dDocent_Contig_250771:56	dDocent_Contig_250771:56	C	1.05120103733481	0.521
dDocent_Contig_183349:76	dDocent_Contig_183349:76	C	10.0209019935821	0
dDocent_Contig_150734:54	dDocent_Contig_150734:54	C	5.92302503254162	0.007
dDocent_Contig_200429:34	dDocent_Contig_200429:34	C	4.10437850966003	0.055
dDocent_Contig_126202:43	dDocent_Contig_126202:43	C	0.500286409529537	0.626
dDocent_Contig_75422:48	dDocent_Contig_75422:48	C	1.69926627448339	0.291
dDocent_Contig_150223:9	dDocent_Contig_150223:9	C	3.55390389369	0.052
dDocent_Contig_129483:80	dDocent_Contig_129483:80	C	5.05078990075374	0.021
dDocent_Contig_126934:26	dDocent_Contig_126934:26	C	21.7872364085251	0
dDocent_Contig_71311:33	dDocent_Contig_71311:33	C	2.65631236995033	0.123
dDocent_Contig_47896:75	dDocent_Contig_47896:75	C	4.98253038716539	0.025
dDocent_Contig_23407:72	dDocent_Contig_23407:72	C	4.72218935412074	0.039
dDocent_Contig_5018:52	dDocent_Contig_5018:52	C	8.19824283018296	0.001
dDocent_Contig_5050:58	dDocent_Contig_5050:58	C	4.12045933975506	0.028
dDocent_Contig_5740:36	dDocent_Contig_5740:36	C	3.54120347989026	0.093
dDocent_Contig_47456:47	dDocent_Contig_47456:47	C	5.16666340070348	0.019
dDocent_Contig_158018:46	dDocent_Contig_158018:46	C	7.00667734563058	0.001
dDocent_Contig_234476:8	dDocent_Contig_234476:8	C	1.48677375617346	0.345
dDocent_Contig_243427:48	dDocent_Contig_243427:48	C	5.38262152742706	0.016
dDocent_Contig_1503:34	dDocent_Contig_1503:34	C	7.9933102393518	0.001
dDocent_Contig_8047:51	dDocent_Contig_8047:51	C	15.1505779676715	0
dDocent_Contig_187784:7	dDocent_Contig_187784:7	C	5.35461016327449	0.021
dDocent_Contig_187784:20	dDocent_Contig_187784:20	C	2.08291116244358	0.26
dDocent_Contig_94634:35	dDocent_Contig_94634:35	C	3.13194541868137	0.108
dDocent_Contig_11319:48	dDocent_Contig_11319:48	C	6.17325438758364	0.007
dDocent_Contig_68679:49	dDocent_Contig_68679:49	C	7.16806648618076	0.002
dDocent_Contig_8047:7	dDocent_Contig_8047:7	C	5.65972456624835	0.011
dDocent_Contig_103231:81	dDocent_Contig_103231:81	C	1.69422332918062	0.291
dDocent_Contig_147253:13	dDocent_Contig_147253:13	C	2.83447661410293	0.079
dDocent_Contig_61676:53	dDocent_Contig_61676:53	C	2.68701339785792	0.118
dDocent_Contig_15873:30	dDocent_Contig_15873:30	C	5.26095796518858	0.013
dDocent_Contig_184667:31	dDocent_Contig_184667:31	C	2.63584812841175	0.148
dDocent_Contig_247247:15	dDocent_Contig_247247:15	C	8.04063627198485	0.006
dDocent_Contig_152411:34	dDocent_Contig_152411:34	C	11.8415529941902	0
dDocent_Contig_107873:57	dDocent_Contig_107873:57	C	4.47636270248613	0.035
dDocent_Contig_54015:15	dDocent_Contig_54015:15	C	1.9012112161311	0.217
dDocent_Contig_9865:47	dDocent_Contig_9865:47	C	5.36503673071768	0.023
dDocent_Contig_78401:7	dDocent_Contig_78401:7	C	6.96344187330214	0.002
dDocent_Contig_54654:15	dDocent_Contig_54654:15	C	13.1574147694808	0
dDocent_Contig_59715:27	dDocent_Contig_59715:27	C	4.31135316073895	0.035
dDocent_Contig_114046:33	dDocent_Contig_114046:33	C	7.02261629291888	0
dDocent_Contig_142699:10	dDocent_Contig_142699:10	C	12.637697495111	0
dDocent_Contig_75180:14	dDocent_Contig_75180:14	C	5.39280528549247	0.006
dDocent_Contig_92115:11	dDocent_Contig_92115:11	C	9.30927473414822	0
dDocent_Contig_140392:42	dDocent_Contig_140392:42	C	11.6578804269775	0
dDocent_Contig_125711:34	dDocent_Contig_125711:34	C	7.15458677011813	0
dDocent_Contig_60112:59	dDocent_Contig_60112:59	C	5.27407544420064	0.018
dDocent_Contig_51455:15	dDocent_Contig_51455:15	C	2.83262996107442	0.078
dDocent_Contig_108635:39	dDocent_Contig_108635:39	C	5.25473708504941	0.01
dDocent_Contig_104147:9	dDocent_Contig_104147:9	C	4.00693913586802	0.022
dDocent_Contig_56983:52	dDocent_Contig_56983:52	C	5.44640911361707	0.018
dDocent_Contig_93325:16	dDocent_Contig_93325:16	C	10.2289629475885	0.001
dDocent_Contig_54238:53	dDocent_Contig_54238:53	C	3.51370839412554	0.059
dDocent_Contig_31715:50	dDocent_Contig_31715:50	C	2.71011416354371	0.107
dDocent_Contig_65268:23	dDocent_Contig_65268:23	C	11.225708104014	0.001
dDocent_Contig_252607:9	dDocent_Contig_252607:9	C	5.58787386639651	0.014
dDocent_Contig_188556:37	dDocent_Contig_188556:37	C	5.15061772828418	0.02
dDocent_Contig_192766:40	dDocent_Contig_192766:40	C	9.24795487747379	0.001
dDocent_Contig_144926:32	dDocent_Contig_144926:32	C	2.97312898005004	0.08
dDocent_Contig_57407:33	dDocent_Contig_57407:33	C	6.30984195765373	0.008
dDocent_Contig_3658:61	dDocent_Contig_3658:61	C	3.68185089581012	0.061
dDocent_Contig_158018:27	dDocent_Contig_158018:27	C	9.72962174456345	0
dDocent_Contig_198806:37	dDocent_Contig_198806:37	C	2.81247410640644	0.137
dDocent_Contig_249053:29	dDocent_Contig_249053:29	C	12.0009291342647	0
dDocent_Contig_23923:28	dDocent_Contig_23923:28	C	16.1731938996379	0
dDocent_Contig_17718:25	dDocent_Contig_17718:25	C	2.07415134296471	0.231
dDocent_Contig_84283:24	dDocent_Contig_84283:24	C	5.45223654877898	0.013
dDocent_Contig_23369:51	dDocent_Contig_23369:51	C	2.34421764685762	0.112
dDocent_Contig_128997:8	dDocent_Contig_128997:8	C	3.78003074404309	0.044
dDocent_Contig_85667:41	dDocent_Contig_85667:41	C	4.4729979493178	0.053
dDocent_Contig_150042:37	dDocent_Contig_150042:37	C	0.528061567204148	0.573
dDocent_Contig_183913:33	dDocent_Contig_183913:33	C	9.55928171689223	0
dDocent_Contig_22488:45	dDocent_Contig_22488:45	C	2.51944651885626	0.171
dDocent_Contig_32366:79	dDocent_Contig_32366:79	C	7.69692813532366	0.002
dDocent_Contig_68719:15	dDocent_Contig_68719:15	C	0.710362498217691	0.503
dDocent_Contig_50293:8	dDocent_Contig_50293:8	C	3.31430626565381	0.055
dDocent_Contig_52725:17	dDocent_Contig_52725:17	C	3.67594569196302	0.075
dDocent_Contig_82650:46	dDocent_Contig_82650:46	C	6.33719743283976	0.007
dDocent_Contig_16359:28	dDocent_Contig_16359:28	C	3.81460915357222	0.056
dDocent_Contig_130215:40	dDocent_Contig_130215:40	C	0.636515730547686	0.578
dDocent_Contig_94209:27	dDocent_Contig_94209:27	C	1.54291360332024	0.371
dDocent_Contig_21525:33	dDocent_Contig_21525:33	C	11.3881257175199	0
dDocent_Contig_254646:28	dDocent_Contig_254646:28	C	7.05213026513886	0.007
dDocent_Contig_91569:40	dDocent_Contig_91569:40	C	2.04806068492285	0.18
dDocent_Contig_97750:11	dDocent_Contig_97750:11	C	26.272561930094	0
dDocent_Contig_200187:34	dDocent_Contig_200187:34	C	11.7140370427606	0.001
dDocent_Contig_103536:35	dDocent_Contig_103536:35	C	1.27566383272535	0.399
dDocent_Contig_23255:37	dDocent_Contig_23255:37	C	1.89419514112009	0.289
dDocent_Contig_234229:52	dDocent_Contig_234229:52	C	2.86432945505275	0.114
dDocent_Contig_193484:8	dDocent_Contig_193484:8	C	6.72870790345702	0
dDocent_Contig_69284:22	dDocent_Contig_69284:22	C	1.06782025513098	0.379
dDocent_Contig_127959:37	dDocent_Contig_127959:37	C	1.58465463292035	0.272
dDocent_Contig_32042:39	dDocent_Contig_32042:39	C	8.15211224305907	0.002
dDocent_Contig_1017:6	dDocent_Contig_1017:6	C	17.4371511053695	0
dDocent_Contig_77375:23	dDocent_Contig_77375:23	C	11.452295787463	0
dDocent_Contig_32464:29	dDocent_Contig_32464:29	C	4.10527346040364	0.045
dDocent_Contig_71628:19	dDocent_Contig_71628:19	C	2.29214933101979	0.164
dDocent_Contig_30605:62	dDocent_Contig_30605:62	C	0.894530102433876	0.469
dDocent_Contig_69274:15	dDocent_Contig_69274:15	C	2.9440583981474	0.074
dDocent_Contig_59557:37	dDocent_Contig_59557:37	C	6.17148532319155	0.011
dDocent_Contig_107202:31	dDocent_Contig_107202:31	C	3.97148920945587	0.019
dDocent_Contig_61676:43	dDocent_Contig_61676:43	C	1.03203546847784	0.425
dDocent_Contig_9643:30	dDocent_Contig_9643:30	C	5.83063353146598	0.011
dDocent_Contig_48494:28	dDocent_Contig_48494:28	C	3.18044488754492	0.097
dDocent_Contig_47238:36	dDocent_Contig_47238:36	C	37.2483330959894	0
dDocent_Contig_133795:17	dDocent_Contig_133795:17	C	5.19155136690336	0.015
dDocent_Contig_52301:26	dDocent_Contig_52301:26	C	11.4886166816576	0
dDocent_Contig_64480:76	dDocent_Contig_64480:76	C	0.760688705418687	0.493
dDocent_Contig_166859:38	dDocent_Contig_166859:38	C	2.26799398377119	0.155
dDocent_Contig_125728:12	dDocent_Contig_125728:12	C	21.5030220334588	0
dDocent_Contig_256845:43	dDocent_Contig_256845:43	C	5.19037105933725	0.028
dDocent_Contig_20500:9	dDocent_Contig_20500:9	C	4.97750819939051	0.018
dDocent_Contig_249582:9	dDocent_Contig_249582:9	C	5.46838014031553	0.005
dDocent_Contig_251013:44	dDocent_Contig_251013:44	C	4.87179843068982	0.024
dDocent_Contig_260828:24	dDocent_Contig_260828:24	C	1.47906586424222	0.336
dDocent_Contig_70589:51	dDocent_Contig_70589:51	C	10.5080665827804	0
dDocent_Contig_106808:12	dDocent_Contig_106808:12	C	11.7598145041013	0
dDocent_Contig_90168:16	dDocent_Contig_90168:16	C	1.52278750244415	0.301
dDocent_Contig_66245:20	dDocent_Contig_66245:20	C	1.01362206560691	0.432
dDocent_Contig_63446:35	dDocent_Contig_63446:35	C	4.41387435953835	0.031
dDocent_Contig_188373:52	dDocent_Contig_188373:52	C	9.2769674378158	0
dDocent_Contig_235179:51	dDocent_Contig_235179:51	C	43.9160471040794	0
dDocent_Contig_257644:8	dDocent_Contig_257644:8	C	8.05048089903887	0
dDocent_Contig_196881:29	dDocent_Contig_196881:29	C	4.49305236703337	0.041
dDocent_Contig_235179:58	dDocent_Contig_235179:58	C	9.53093940211895	0.001
dDocent_Contig_140947:50	dDocent_Contig_140947:50	C	8.48646036989066	0.001
dDocent_Contig_18541:62	dDocent_Contig_18541:62	C	0.555482477385766	0.512
dDocent_Contig_131732:9	dDocent_Contig_131732:9	C	7.52150608203955	0.005
dDocent_Contig_71739:55	dDocent_Contig_71739:55	C	2.83685139528824	0.096
dDocent_Contig_50293:28	dDocent_Contig_50293:28	C	4.46379795574666	0.038
dDocent_Contig_200881:26	dDocent_Contig_200881:26	C	14.3669104698649	0
dDocent_Contig_69832:20	dDocent_Contig_69832:20	C	5.99360818398623	0.007
dDocent_Contig_65845:21	dDocent_Contig_65845:21	C	9.49265454818013	0
dDocent_Contig_249155:9	dDocent_Contig_249155:9	C	3.75497509018463	0.086
dDocent_Contig_18529:45	dDocent_Contig_18529:45	C	14.098881328683	0
dDocent_Contig_112489:13	dDocent_Contig_112489:13	C	5.85011122528002	0.018
dDocent_Contig_23978:34	dDocent_Contig_23978:34	C	31.1232533429255	0
dDocent_Contig_247085:24	dDocent_Contig_247085:24	C	4.73598178978623	0.026
dDocent_Contig_183913:26	dDocent_Contig_183913:26	C	5.07640906305312	0.013
dDocent_Contig_257339:29	dDocent_Contig_257339:29	C	1.55480850276186	0.243
dDocent_Contig_136213:42	dDocent_Contig_136213:42	C	23.7874331198312	0
dDocent_Contig_229310:20	dDocent_Contig_229310:20	C	20.2665845982202	0
dDocent_Contig_49055:24	dDocent_Contig_49055:24	C	13.2854759741519	0
dDocent_Contig_54582:26	dDocent_Contig_54582:26	C	3.48887877761932	0.089
dDocent_Contig_775:27	dDocent_Contig_775:27	C	0.957383807067799	0.472
dDocent_Contig_234907:56	dDocent_Contig_234907:56	C	8.98909845075178	0.002
dDocent_Contig_3547:33	dDocent_Contig_3547:33	C	2.96725255116887	0.098
dDocent_Contig_223947:19	dDocent_Contig_223947:19	C	13.6781638211445	0
dDocent_Contig_152411:9	dDocent_Contig_152411:9	C	4.587196827376	0.034
dDocent_Contig_202366:50	dDocent_Contig_202366:50	C	3.87592407108009	0.06
dDocent_Contig_147253:49	dDocent_Contig_147253:49	C	3.00758014422263	0.091
dDocent_Contig_146203:7	dDocent_Contig_146203:7	C	1.48567528702976	0.281
